S809
1 -5.0 5.0 -5.0 5.0 0.2
4 0 0
0.0 71
-45.0 -0.759 0.776 0.182
-40.0 -0.785 0.678 0.164
-35.0 -0.79 0.574 0.146
-32.0 -0.783 0.51 0.135
-30.0 -0.773 0.467 0.127
-28.0 -0.758 0.424 0.119
-26.0 -0.741 0.381 0.111
-25.0 -0.738 0.36 0.107
-24.0 -0.738 0.338 0.102
-22.0 -0.748 0.294 0.091
-20.0 -0.766 0.251 0.079
-18.0 -0.787 0.209 0.066
-16.7 -0.8 0.183 0.057
-14.6 -0.79 0.079 0.044
-12.6 -0.7 0.055 0.032
-10.7 -0.63 0.04 0.02
-8.7 -0.58 0.027 0.007
-6.7 -0.61 0.019 -0.005
-4.6 -0.4 0.013 -0.018
-2.6 -0.16 0.009 -0.03
-1.04 0.015 0.0085 -0.041
-0.01 0.134 0.0085 -0.044
1.02 0.253 0.0085 -0.046
2.05 0.372 0.0087 -0.049
3.07 0.491 0.0086 -0.051
4.1 0.61 0.0087 -0.054
5.13 0.729 0.009 -0.056
5.64 0.787 0.009 -0.057
6.16 0.842 0.0092 -0.057
6.41 0.868 0.0093 -0.056
6.67 0.883 0.0102 -0.054
6.92 0.892 0.0114 -0.0523
7.18 0.903 0.0126 -0.0506
8.2 0.944 0.0168 -0.044
9.21 0.973 0.021455 -0.037
9.57 0.965 0.0231 -0.0382
10.2 0.952 0.0263 -0.0397
10.67 0.95 0.029 -0.037
11.21 0.947 0.033 -0.0345
11.67 0.974 0.037 -0.038
12.23 1.007 0.046 -0.042
12.77 1.02 0.055 -0.042
13.22 1.031 0.062 -0.042
13.67 1.042 0.068 -0.042
14.23 1.055 0.0694 -0.0419
14.67 1.058 0.071 -0.042
15.23 1.062 0.08 -0.0418
15.67 1.053 0.088 -0.0433
16.22 1.043 0.097 -0.045
16.67 1.014 0.104 -0.045
17.2 0.979 0.121 -0.046
17.57 0.9 0.133 -0.049
18.19 0.832 0.197 -0.054
18.67 0.78 0.247 -0.06
20.0 0.774 0.27 -0.076
22.0 0.762 0.304 -0.098
24.0 0.752 0.341 -0.119
25.0 0.749 0.36 -0.128
26.0 0.747 0.379 -0.136
28.0 0.751 0.42 -0.15
30.0 0.764 0.462 -0.159
32.0 0.774 0.505 -0.168
35.0 0.782 0.5678 -0.181
40.0 0.776 0.67 -0.201
45.0 0.751 0.768 -0.22
50.0 0.709 0.857 -0.238
55.0 0.652 0.938 -0.254
60.0 0.584 1.01 -0.27
70.0 0.42 1.121 -0.298
80.0 0.233 1.19 -0.323
90.0 0.034 1.214 -0.345
20000.0 71
-45.0 -0.759 0.776 0.182
-40.0 -0.785 0.678 0.164
-35.0 -0.79 0.574 0.146
-32.0 -0.783 0.51 0.135
-30.0 -0.773 0.467 0.127
-28.0 -0.758 0.424 0.119
-26.0 -0.741 0.381 0.111
-25.0 -0.738 0.36 0.107
-24.0 -0.738 0.338 0.102
-22.0 -0.748 0.294 0.091
-20.0 -0.766 0.251 0.079
-18.0 -0.787 0.209 0.066
-16.7 -0.8 0.183 0.057
-14.6 -0.79 0.079 0.044
-12.6 -0.7 0.055 0.032
-10.7 -0.63 0.04 0.02
-8.7 -0.58 0.027 0.007
-6.7 -0.61 0.019 -0.005
-4.6 -0.4 0.013 -0.018
-2.6 -0.16 0.009 -0.03
-1.04 0.015 0.0085 -0.041
-0.01 0.134 0.0085 -0.044
1.02 0.253 0.0085 -0.046
2.05 0.372 0.0087 -0.049
3.07 0.491 0.0086 -0.051
4.1 0.61 0.0087 -0.054
5.13 0.729 0.009 -0.056
5.64 0.787 0.009 -0.057
6.16 0.842 0.0092 -0.057
6.41 0.868 0.0093 -0.056
6.67 0.883 0.0102 -0.054
6.92 0.892 0.0114 -0.0523
7.18 0.903 0.0126 -0.0506
8.2 0.944 0.0168 -0.044
9.21 0.973 0.021455 -0.037
9.57 0.965 0.0231 -0.0382
10.2 0.952 0.0263 -0.0397
10.67 0.95 0.029 -0.037
11.21 0.947 0.033 -0.0345
11.67 0.974 0.037 -0.038
12.23 1.007 0.046 -0.042
12.77 1.02 0.055 -0.042
13.22 1.031 0.062 -0.042
13.67 1.042 0.068 -0.042
14.23 1.055 0.0694 -0.0419
14.67 1.058 0.071 -0.042
15.23 1.062 0.08 -0.0418
15.67 1.053 0.088 -0.0433
16.22 1.043 0.097 -0.045
16.67 1.014 0.104 -0.045
17.2 0.979 0.121 -0.046
17.57 0.9 0.133 -0.049
18.19 0.832 0.197 -0.054
18.67 0.78 0.247 -0.06
20.0 0.774 0.27 -0.076
22.0 0.762 0.304 -0.098
24.0 0.752 0.341 -0.119
25.0 0.749 0.36 -0.128
26.0 0.747 0.379 -0.136
28.0 0.751 0.42 -0.15
30.0 0.764 0.462 -0.159
32.0 0.774 0.505 -0.168
35.0 0.782 0.5678 -0.181
40.0 0.776 0.67 -0.201
45.0 0.751 0.768 -0.22
50.0 0.709 0.857 -0.238
55.0 0.652 0.938 -0.254
60.0 0.584 1.01 -0.27
70.0 0.42 1.121 -0.298
80.0 0.233 1.19 -0.323
90.0 0.034 1.214 -0.345
2.0E7 71
-45.0 -0.759 0.776 0.182
-40.0 -0.785 0.678 0.164
-35.0 -0.79 0.574 0.146
-32.0 -0.783 0.51 0.135
-30.0 -0.773 0.467 0.127
-28.0 -0.758 0.424 0.119
-26.0 -0.741 0.381 0.111
-25.0 -0.738 0.36 0.107
-24.0 -0.738 0.338 0.102
-22.0 -0.748 0.294 0.091
-20.0 -0.766 0.251 0.079
-18.0 -0.787 0.209 0.066
-16.7 -0.8 0.183 0.057
-14.6 -0.79 0.079 0.044
-12.6 -0.7 0.055 0.032
-10.7 -0.63 0.04 0.02
-8.7 -0.58 0.027 0.007
